"Age ","Sex ","Program of study","College","Level Study","Branch","Have a job","Attending method prefer more","experience in handling e-Learning platform tools","total number of lectures prefer to attend daily ","frequently contact instructor to ask inquiries ","motivated using the interfaces of the e-Learning Platform? ","interested in revising the recorded lectures on the e-Learning platform ","preferred level of interactivity type ","","Type of assessment activity preferred most? ","Preferred  semantic density (amount of content) displayed in a single power point slide","Preferred electronic device to access the course contents","Preferred background color for your e-Learning platform? ","Preferred text color for your course text contents? ","learning resource preferred most"
"28","1","5","2","4","4","1","3","1","2","2","3","1","1","","1","2","2","3","1","3"
"22","1","5","2","6","7","2","3","2","4","3","3","3","2","","1","1","2","3","11","6"
"25","1","5","2","3","7","1","2","2","4","1","1","1","2","","1","1","2","11","4","2"
"20","1","5","2","6","6","1","2","2","3","2","3","3","3","","1","2","2","3","1","6"
"21","1","5","2","5","7","1","3","1","4","2","1","3","1","","1","2","2","3","1","1"
"29","2","5","2","7","4","2","3","3","3","3","3","2","1","","4","3","2","3","1","6"
"26","1","5","2","4","7","1","2","2","3","2","1","3","3","","1","2","2","3","1","1"
"23","1","5","2","4","7","1","3","2","3","2","3","1","3","","1","2","2","3","2","1"
"27","1","5","2","4","7","1","2","2","3","2","3","3","3","","1","2","2","3","1","1"
"30","1","5","2","4","7","1","2","2","2","2","3","3","3","","1","1","2","3","2","2"
"31","1","5","2","4","7","1","2","2","3","2","3","3","3","","1","2","3","3","1","1"
"34","1","5","2","4","7","1","2","2","3","2","3","3","3","","1","1","1","3","1","1"
"21","1","5","2","5","7","1","3","1","4","2","1","3","1","","1","2","2","3","1","1"
"32","1","5","2","4","7","1","2","2","3","2","3","3","3","","1","2","2","3","1","1"
"30","1","5","2","4","7","1","2","2","3","2","3","3","3","","4","2","3","3","2","6"
"31","1","5","2","8","7","1","3","2","3","2","3","1","1","","4","2","2","3","1","7"
"32","2","5","2","4","7","2","2","2","3","2","1","1","3","","6","2","4","1","3","2"
"29","1","5","2","4","6","2","2","1","4","2","3","3","3","","2","2","1","6","1","2"
"36","1","5","2","4","8","1","2","1","3","2","1","1","3","","2","2","4","3","1","3"
"25","2","5","2","8","4","2","3","1","3","2","3","3","2","","1","2","3","3","3","5"
"32","2","5","2","6","6","2","3","1","5","3","1","3","1","","4","1","2","1","3","5"
"39","1","5","2","3","6","1","2","1","3","2","1","3","2","","1","2","1","1","2","2"
"21","2","5","2","4","4","2","3","1","4","2","3","1","2","","1","2","2","3","2","2"
"26","2","5","2","4","1","2","3","2","2","3","2","3","2","","7","2","3","11","1","8"
"37","1","5","2","4","7","1","2","1","3","2","3","1","2","","1","2","4","3","1","6"
"29","1","5","2","5","1","1","3","1","6","1","3","3","2","","1","2","1","3","1","1"
"29","1","5","2","7","3","1","2","1","4","2","3","1","1","","4","2","3","3","1","5"
"25","1","5","2","7","7","1","2","1","3","2","3","3","1","","4","2","3","3","1","2"
"36","1","5","2","7","7","1","2","2","3","2","3","1","2","","1","2","2","3","1","6"
"30","1","5","2","7","7","1","2","1","5","1","1","1","1","","1","1","2","3","11","1"
"28","1","5","2","6","7","1","2","1","3","2","1","1","2","","1","2","2","2","1","1"
"33","1","5","2","8","7","1","2","1","4","2","1","3","3","","1","2","2","2","3","1"
"28","1","5","2","6","6","1","3","1","3","2","3","3","2","","6","2","3","1","3","5"
"42","1","5","2","4","8","1","2","1","3","1","1","1","3","","1","2","2","3","11","1"
"33","1","14","2","9","7","1","2","2","2","2","3","3","2","","1","2","2","3","1","1"
"35","1","14","2","9","7","1","2","2","2","2","1","1","2","","1","1","2","3","2","1"
"37","1","14","2","9","7","1","2","2","2","2","3","3","2","","5","2","2","3","11","1"
"29","1","14","2","9","7","1","2","2","2","2","3","1","2","","5","1","2","3","1","6"
"36","1","14","2","9","7","1","3","2","2","2","3","1","2","","1","1","2","3","2","2"
"30","1","14","2","9","7","1","2","2","2","2","3","3","3","","1","2","2","3","1","1"
"35","1","14","2","9","7","1","2","2","2","2","3","1","1","","1","2","2","3","1","1"
"26","1","5","2","5","7","1","2","2","3","2","1","3","3","","1","2","2","3","1","1"
"29","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","1","3","3","2","1"
"30","1","5","2","5","7","1","3","2","3","1","1","1","2","","1","2","2","3","1","1"
"29","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"30","1","5","2","5","7","1","3","2","2","2","3","3","3","","1","2","3","3","1","6"
"32","1","5","2","5","7","1","2","1","3","2","3","3","2","","1","2","2","3","1","1"
"35","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"29","1","5","2","5","7","1","2","1","3","1","3","3","2","","1","1","2","3","7","1"
"27","1","5","2","5","7","1","3","2","3","2","3","3","2","","1","2","2","3","8","1"
"30","1","5","2","5","7","1","3","2","3","2","3","3","2","","1","2","2","3","1","1"
"31","1","5","2","5","7","1","2","2","3","2","3","1","2","","1","2","2","3","2","1"
"23","1","5","2","5","7","1","3","2","3","2","3","3","2","","1","2","2","3","1","1"
"25","1","7","2","5","7","1","2","2","3","1","1","1","2","","1","2","2","3","1","1"
"27","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","1","2","3","2","1"
"30","1","5","2","5","7","1","2","2","3","2","3","1","2","","1","1","2","3","1","6"
"26","1","7","2","5","7","1","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"32","1","5","2","5","7","1","2","1","3","2","3","1","2","","1","2","2","3","1","1"
"29","1","5","2","5","7","1","1","1","3","1","1","1","2","","1","1","2","3","1","1"
"28","1","5","2","5","7","1","3","2","3","2","3","3","4","","6","2","3","3","2","2"
"25","1","5","2","4","7","1","2","1","2","2","1","1","3","","1","1","4","3","1","1"
"23","1","5","2","4","6","1","2","2","4","2","3","3","3","","4","1","2","2","1","3"
"29","1","5","2","4","7","1","2","1","4","2","3","3","3","","2","2","4","2","3","2"
"27","1","5","2","4","7","2","3","2","4","2","3","1","1","","4","2","1","1","3","7"
"29","1","5","2","4","7","1","2","1","3","2","3","3","2","","1","1","2","3","1","1"
"23","1","5","2","4","7","1","2","2","5","2","3","3","1","","4","2","2","2","1","7"
"22","1","5","2","4","7","1","2","2","1","2","3","3","3","","7","2","2","3","1","4"
"34","1","5","2","4","7","2","3","1","3","2","3","3","2","","1","2","2","1","3","1"
"37","1","5","2","4","7","1","2","1","3","2","1","1","2","","1","1","4","3","1","6"
"25","1","5","2","4","7","1","2","2","4","2","1","1","3","","1","1","4","3","1","1"
"21","1","5","2","4","7","2","2","1","3","2","3","3","3","","2","2","2","2","2","1"
"24","1","5","2","4","7","1","2","2","2","2","3","3","2","","1","2","1","1","1","5"
"27","1","6","2","4","7","1","1","1","6","2","3","3","2","","1","2","3","1","1","6"
"33","1","5","2","4","7","1","1","1","4","2","1","3","1","","1","2","2","2","2","6"
"36","1","7","3","5","7","1","2","1","3","2","1","1","2","","1","2","4","2","1","1"
"28","1","5","2","4","7","1","1","2","3","2","3","1","2","","6","2","2","9","3","5"
"20","1","5","2","3","7","2","3","1","3","2","1","1","3","","2","2","3","3","2","1"
"33","1","5","2","4","7","1","2","1","4","2","3","3","2","","2","2","2","2","1","1"
"31","1","5","2","4","7","1","2","1","4","2","1","1","2","","1","1","1","2","3","1"
"20","1","5","2","6","7","2","1","1","4","2","3","1","2","","7","2","1","1","3","1"
"28","1","5","2","6","7","1","2","1","3","2","1","1","2","","1","2","2","2","1","1"
"25","1","5","2","4","7","1","2","1","2","2","1","1","3","","1","1","4","3","1","1"
"28","1","5","2","4","2","1","3","2","4","2","3","3","2","","4","2","2","2","1","3"
"28","1","5","2","6","7","1","2","1","3","2","1","1","2","","1","2","2","2","1","1"
"37","1","5","2","5","6","1","3","1","4","2","1","3","2","","5","2","2","3","1","2"
"20","1","5","2","5","7","2","1","1","5","1","1","1","2","","2","1","2","2","1","1"
"31","1","5","2","6","7","1","3","1","3","3","3","1","2","","3","2","1","3","10","6"
"36","1","5","2","4","1","1","3","1","4","2","1","1","2","","6","2","2","5","3","1"
"28","1","5","2","6","6","1","2","2","4","2","3","1","3","","1","2","2","3","1","8"
"46","1","5","2","7","7","1","3","1","3","1","1","1","1","","4","1","1","1","3","7"
"28","1","5","2","7","7","1","2","1","3","1","1","1","1","","2","1","2","3","1","1"
"42","1","5","2","7","7","1","3","2","4","2","3","3","2","","1","2","3","2","1","2"
"28","1","5","2","6","7","1","3","1","3","2","1","1","2","","1","2","2","3","1","1"
"37","1","5","2","7","7","1","3","1","1","2","3","3","1","","7","3","4","3","1","6"
"31","1","5","2","7","7","1","2","1","3","2","3","3","2","","2","2","2","3","1","2"
"33","1","5","2","8","7","1","2","1","4","2","1","3","3","","1","2","2","2","3","1"
"30","1","7","3","8","7","1","2","1","4","2","3","3","4","","1","3","4","3","1","1"
"24","1","5","2","4","4","1","1","1","3","2","3","1","2","","5","3","3","11","11","6"
"31","1","5","2","5","7","1","2","2","3","2","3","1","2","","1","1","2","3","1","1"
"30","1","5","2","5","7","1","2","1","3","1","3","3","2","","1","2","2","3","2","1"
"29","1","5","2","5","7","1","2","2","3","2","3","1","3","","1","1","2","3","2","1"
"27","1","5","2","5","7","1","2","2","3","2","3","1","2","","1","1","2","3","1","2"
"30","1","5","2","5","7","1","2","2","3","1","3","3","2","","1","1","2","3","1","1"
"26","1","5","2","5","7","1","3","2","2","2","1","3","1","","5","2","3","3","2","1"
"25","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"30","1","5","2","5","7","1","2","2","2","2","1","3","2","","1","1","2","3","1","1"
"36","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","1","2","3","1","1"
"29","1","5","2","5","7","1","2","2","2","2","3","3","2","","1","1","2","3","1","1"
"30","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","1","2","4","3","2"
"30","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","1","2","3","1","1"
"30","1","5","2","5","7","1","2","1","3","2","3","3","2","","1","1","2","3","1","2"
"32","1","5","2","5","7","1","2","2","3","1","1","3","2","","1","2","2","3","1","1"
"34","1","5","2","5","7","1","2","2","3","1","1","3","2","","1","1","2","3","2","1"
"31","1","5","2","5","7","1","3","2","3","2","3","3","2","","1","1","2","3","1","1"
"30","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","1","2","3","1","1"
"32","1","5","2","5","7","1","2","2","3","2","3","3","3","","1","1","2","3","2","1"
"32","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","2","2","3","2","1"
"34","1","5","2","5","7","2","2","2","3","2","3","3","3","","1","2","2","3","1","1"
"31","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","1","2","3","8","1"
"32","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","2","2","3","2","1"
"30","1","5","2","5","7","1","1","2","3","2","3","3","2","","1","2","2","3","1","1"
"34","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"35","1","5","2","5","7","1","2","2","3","2","3","3","2","","1","1","2","3","2","1"
"35","1","5","2","5","8","1","3","3","3","3","3","3","2","","6","1","2","3","11","6"
"28","1","5","2","6","7","1","3","1","3","2","1","1","2","","1","2","2","3","1","1"
"24","1","5","2","4","7","1","2","2","2","2","3","3","2","","1","2","1","1","3","5"
"27","1","5","2","4","7","2","3","2","4","2","3","1","1","","4","2","1","1","3","7"
"29","1","5","2","4","7","1","2","1","4","2","1","1","4","","2","2","4","2","3","2"
"29","1","5","2","4","7","1","1","2","4","2","3","3","2","","1","1","1","3","1","1"
"33","1","5","2","4","7","1","1","1","4","2","3","3","1","","1","2","2","2","2","6"
"27","1","5","2","4","7","1","2","1","3","3","1","1","3","","6","2","2","11","11","6"
"24","1","5","2","4","7","1","2","2","3","2","3","1","2","","5","2","2","3","6","1"
"28","1","5","2","4","7","1","1","1","4","2","3","1","2","","1","2","2","7","1","7"
"30","2","5","2","4","7","1","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"32","1","5","2","4","7","1","2","2","2","2","3","1","2","","1","1","2","3","1","1"
"35","1","5","2","5","7","1","2","2","3","1","1","3","2","","1","1","2","4","3","1"
"30","1","5","2","4","7","1","2","2","3","2","3","3","2","","5","1","2","3","1","1"
"29","1","5","2","4","7","1","2","2","3","2","1","3","2","","1","2","2","3","2","1"
"34","1","5","2","4","7","1","2","1","3","2","1","3","2","","1","1","3","3","1","1"
"30","1","5","2","4","7","1","2","2","2","2","1","1","3","","5","2","2","3","2","1"
"32","1","5","2","4","7","1","2","2","3","2","1","3","4","","1","1","2","3","1","1"
"35","1","5","2","4","7","1","2","2","3","2","3","3","3","","1","1","2","3","2","1"
"34","1","5","2","4","7","1","2","2","3","2","3","3","2","","1","2","2","3","1","1"
"27","1","5","2","4","7","1","2","2","3","2","3","3","2","","1","2","2","3","2","1"
"31","1","5","2","4","7","1","2","2","3","2","3","3","3","","5","2","2","3","1","1"
"30","1","5","2","4","7","2","2","2","3","1","3","3","1","","1","2","2","3","1","1"
"35","1","5","2","4","7","1","2","2","3","2","3","1","1","","5","1","2","3","2","6"
"29","1","5","2","4","7","1","2","2","3","2","3","3","2","","1","1","2","3","1","1"
"34","1","5","2","4","7","1","2","2","3","2","3","3","2","","1","1","2","3","1","1"
"28","2","5","2","6","7","2","1","3","6","3","3","3","2","","7","2","2","3","11","5"
"28","1","5","2","6","7","1","3","1","3","2","1","1","2","","1","2","2","3","1","1"
"270","1","6","2","7","7","1","2","1","7","2","1","1","1","","1","1","1","1","11","1"
"31","1","5","2","8","7","1","3","1","4","2","1","3","2","","6","2","2","2","3","2"
"36","1","5","2","7","7","1","2","2","2","2","3","1","2","","1","2","2","3","1","6"
"24","1","5","2","7","7","1","2","1","3","2","3","3","1","","4","2","3","3","1","2"
"22","1","5","2","6","7","2","1","1","2","2","3","3","1","","1","2","3","1","2","1"
"33","1","5","2","8","7","1","2","1","4","2","1","3","3","","1","1","2","2","3","1"
"29","1","5","2","7","7","1","3","1","3","3","3","3","1","","1","2","2","10","1","2"
"37","1","1","2","7","7","1","3","1","1","2","2","3","4","","4","3","4","3","1","6"
"31","1","5","2","7","7","1","2","2","3","2","3","3","2","","2","2","2","3","1","2"
"37","1","5","2","7","7","1","2","1","3","2","1","3","1","","7","2","1","3","1","1"
"30","1","5","2","7","7","1","2","1","5","1","1","1","1","","1","1","2","3","2","1"
"41","1","5","2","7","7","1","2","2","4","2","3","3","2","","1","2","2","2","1","2"
"32","1","5","2","7","7","1","3","1","2","2","3","3","3","","1","2","2","10","1","1"
"42","1","6","2","8","7","1","2","1","3","2","3","1","4","","6","1","2","3","1","6"
"23","1","5","2","8","7","2","3","2","4","2","3","3","2","","6","2","2","1","3","6"
"40","1","5","2","7","7","1","2","1","5","2","3","1","2","","1","2","2","3","1","6"
"34","1","5","2","4","7","1","2","2","3","2","3","3","3","","1","1","2","3","1","1"
"27","1","5","2","4","7","1","2","2","3","2","3","3","2","","1","1","2","3","1","1"
"30","1","5","2","4","7","1","2","1","3","2","1","1","2","","1","1","2","3","1","1"
"31","1","5","2","4","7","1","2","2","3","2","3","3","2","","1","1","2","3","2","1"
"30","1","5","2","4","7","1","2","2","3","2","1","1","2","","5","2","2","3","2","6"
"32","1","5","2","4","7","1","2","2","3","2","3","1","2","","1","1","2","3","1","1"
"34","1","5","2","4","7","1","2","2","3","2","3","3","2","","1","1","2","3","1","1"
"32","1","5","2","4","7","1","3","1","3","2","3","3","2","","1","1","2","3","1","1"
"35","1","5","2","4","7","1","2","1","2","1","3","1","2","","5","1","2","3","2","1"
"28","1","5","2","6","7","1","3","1","3","2","1","1","2","","1","2","2","3","1","1"
"29","1","5","2","4","7","1","2","1","4","2","3","1","4","","2","2","4","2","3","3"
"37","1","5","2","4","7","1","2","1","3","2","1","1","2","","1","1","4","3","1","6"
"33","1","5","1","4","7","1","1","2","4","2","3","3","2","","1","2","2","2","2","1"
"29","1","5","2","4","7","1","2","2","4","2","3","3","2","","1","2","2","3","1","1"
"27","1","6","2","4","7","1","2","2","6","2","1","1","3","","1","2","3","3","5","6"
"21","1","6","2","1","7","1","3","2","3","2","3","3","4","","4","2","2","2","1","7"
"27","1","5","2","4","7","2","3","2","4","2","3","1","1","","4","2","1","1","3","7"
"24","1","5","2","4","7","1","2","2","2","2","3","3","2","","1","2","1","1","3","5"
"28.5","1","5","2","4","7","1","1","1","4","2","3","1","2","","2","2","2","3","9","2"
"33","1","5","2","4","7","1","1","2","4","2","3","3","2","","2","2","2","2","1","1"
